Season,DateTime,HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,Full Time Result,Half Time Home Goals,Half Time Away Goals,Half Time Result,Home Team Shoots,Away Team Shoots
2020-21,2021-03-20T20:00:00Z,Brighton,Newcastle,3,0,H,1,0,H,11,3
2020-21,2021-03-21T15:00:00Z,West Ham,Arsenal,3,3,D,3,1,H,15,16
2020-21,2021-03-21T19:30:00Z,Aston Villa,Tottenham,0,2,A,0,1,A,8,9
2020-21,2021-04-03T12:30:00Z,Chelsea,West Brom,2,5,A,1,2,A,18,14
2020-21,2021-04-03T15:00:00Z,Leeds,Sheffield United,2,1,H,1,1,D,23,9
2020-21,2021-04-03T17:30:00Z,Leicester,Man City,0,2,A,0,0,D,5,11
2020-21,2021-04-03T20:00:00Z,Arsenal,Liverpool,0,3,A,0,0,D,3,16
2020-21,2021-04-04T12:00:00Z,Southampton,Burnley,3,2,H,2,2,D,24,7
2020-21,2021-04-04T14:05:00Z,Newcastle,Tottenham,2,2,D,1,2,A,22,11
2020-21,2021-04-04T16:30:00Z,Aston Villa,Fulham,3,1,H,0,0,D,14,15
2020-21,2021-04-04T19:30:00Z,Man United,Brighton,2,1,H,0,1,A,15,5
2020-21,2021-04-05T18:00:00Z,Everton,Crystal Palace,1,1,D,0,0,D,15,13
2020-21,2021-04-05T20:15:00Z,Wolves,West Ham,2,3,A,1,3,A,20,9
2020-21,2021-04-09T20:00:00Z,Fulham,Wolves,0,1,A,0,0,D,14,7
2020-21,2021-04-10T12:30:00Z,Man City,Leeds,1,2,A,0,1,A,29,2
2020-21,2021-04-10T15:00:00Z,Liverpool,Aston Villa,2,1,H,0,1,A,23,9
2020-21,2021-04-10T17:30:00Z,Crystal Palace,Chelsea,1,4,A,0,3,A,1,23
2020-21,2021-04-11T12:00:00Z,Burnley,Newcastle,1,2,A,1,0,H,24,10
2020-21,2021-04-11T14:05:00Z,West Ham,Leicester,3,2,H,2,0,H,4,15
2020-21,2021-04-11T16:30:00Z,Tottenham,Man United,1,3,A,1,0,H,12,12
2020-21,2021-04-11T19:00:00Z,Sheffield United,Arsenal,0,3,A,0,1,A,7,14
2020-21,2021-04-12T18:00:00Z,West Brom,Southampton,3,0,H,2,0,H,15,14
2020-21,2021-04-12T20:15:00Z,Brighton,Everton,0,0,D,0,0,D,23,8
2020-21,2021-04-16T20:00:00Z,Everton,Tottenham,2,2,D,1,1,D,18,12
2020-21,2021-04-17T12:30:00Z,Newcastle,West Ham,3,2,H,2,0,H,16,16
2020-21,2021-04-17T20:15:00Z,Wolves,Sheffield United,1,0,H,0,0,D,10,8
2020-21,2021-04-18T13:30:00Z,Arsenal,Fulham,1,1,D,0,0,D,18,3
2020-21,2021-04-18T16:00:00Z,Man United,Burnley,3,1,H,0,0,D,17,10
2020-21,2021-04-19T20:00:00Z,Leeds,Liverpool,1,1,D,0,1,A,12,17
2020-21,2021-04-20T20:00:00Z,Chelsea,Brighton,0,0,D,0,0,D,7,11
2020-21,2021-04-21T18:00:00Z,Tottenham,Southampton,2,1,H,0,1,A,12,10
2020-21,2021-04-21T20:15:00Z,Aston Villa,Man City,1,2,A,1,2,A,8,13
2020-21,2021-04-22T20:00:00Z,Leicester,West Brom,3,0,H,3,0,H,17,4
2020-21,2021-04-23T20:00:00Z,Arsenal,Everton,0,1,A,0,0,D,14,8
2020-21,2021-04-24T12:30:00Z,Liverpool,Newcastle,1,1,D,1,0,H,22,7
2020-21,2021-04-24T17:30:00Z,West Ham,Chelsea,0,1,A,0,1,A,9,17
2020-21,2021-04-24T20:00:00Z,Sheffield United,Brighton,1,0,H,1,0,H,7,17
2020-21,2021-04-25T12:00:00Z,Wolves,Burnley,0,4,A,0,3,A,12,14
2020-21,2021-04-25T14:00:00Z,Leeds,Man United,0,0,D,0,0,D,6,16
2020-21,2021-04-25T19:00:00Z,Aston Villa,West Brom,2,2,D,1,1,D,24,10
2020-21,2021-04-26T20:00:00Z,Leicester,Crystal Palace,2,1,H,0,1,A,13,4
2020-21,2021-04-30T20:00:00Z,Southampton,Leicester,1,1,D,0,0,D,5,23
2020-21,2021-05-01T12:30:00Z,Crystal Palace,Man City,0,2,A,0,0,D,9,20
2020-21,2021-05-01T15:00:00Z,Brighton,Leeds,2,0,H,1,0,H,17,11
2020-21,2021-05-01T17:30:00Z,Chelsea,Fulham,2,0,H,1,0,H,9,10
2020-21,2021-05-01T20:00:00Z,Everton,Aston Villa,1,2,A,1,1,D,16,13
2020-21,2021-05-02T14:00:00Z,Newcastle,Arsenal,0,2,A,0,1,A,5,19
2020-21,2021-05-02T19:15:00Z,Tottenham,Sheffield United,4,0,H,1,0,H,20,8
2020-21,2021-05-03T18:00:00Z,West Brom,Wolves,1,1,D,0,1,A,10,20
2020-21,2021-05-03T20:15:00Z,Burnley,West Ham,1,2,A,1,2,A,8,22
2020-21,2021-05-07T20:00:00Z,Leicester,Newcastle,2,4,A,0,2,A,25,14
2020-21,2021-05-08T12:30:00Z,Leeds,Tottenham,3,1,H,2,1,H,16,11
2020-21,2021-05-08T15:00:00Z,Sheffield United,Crystal Palace,0,2,A,0,1,A,7,21
2020-21,2021-05-08T17:30:00Z,Man City,Chelsea,1,2,A,1,0,H,16,12
2020-21,2021-05-08T20:15:00Z,Liverpool,Southampton,2,0,H,1,0,H,14,12
2020-21,2021-05-09T12:00:00Z,Wolves,Brighton,2,1,H,0,1,A,16,5
2020-21,2021-05-09T14:05:00Z,Aston Villa,Man United,1,3,A,1,0,H,11,18
2020-21,2021-05-09T16:30:00Z,West Ham,Everton,0,1,A,0,1,A,11,9
2020-21,2021-05-09T19:00:00Z,Arsenal,West Brom,3,1,H,2,0,H,15,12
2020-21,2021-05-10T20:00:00Z,Fulham,Burnley,0,2,A,0,2,A,21,14
2020-21,2021-05-11T18:00:00Z,Man United,Leicester,1,2,A,1,1,D,4,12
2020-21,2021-05-11T20:15:00Z,Southampton,Crystal Palace,3,1,H,1,1,D,13,11
2020-21,2021-05-12T20:15:00Z,Chelsea,Arsenal,0,1,A,0,1,A,19,5
2020-21,2021-05-13T18:00:00Z,Aston Villa,Everton,0,0,D,0,0,D,13,15
2020-21,2021-05-13T20:15:00Z,Man United,Liverpool,2,4,A,1,2,A,18,17
2020-21,2021-05-14T20:00:00Z,Newcastle,Man City,3,4,A,2,2,D,11,15
2020-21,2021-05-15T12:30:00Z,Burnley,Leeds,0,4,A,0,1,A,16,16
2020-21,2021-05-15T15:00:00Z,Southampton,Fulham,3,1,H,1,0,H,11,10
2020-21,2021-05-15T20:00:00Z,Brighton,West Ham,1,1,D,0,0,D,10,15
2020-21,2021-05-16T12:00:00Z,Crystal Palace,Aston Villa,3,2,H,1,2,A,23,19
2020-21,2021-05-16T14:05:00Z,Tottenham,Wolves,2,0,H,1,0,H,24,15
2020-21,2021-05-16T16:30:00Z,West Brom,Liverpool,1,2,A,1,1,D,10,26
2020-21,2021-05-16T19:00:00Z,Everton,Sheffield United,0,1,A,0,1,A,16,10
2020-21,2021-05-18T18:00:00Z,Man United,Fulham,1,1,D,1,0,H,13,8
2020-21,2021-05-18T18:00:00Z,Southampton,Leeds,0,2,A,0,0,D,18,15
2020-21,2021-05-18T19:00:00Z,Brighton,Man City,3,2,H,0,1,A,19,8
2020-21,2021-05-18T20:15:00Z,Chelsea,Leicester,2,1,H,0,0,D,17,7
2020-21,2021-05-19T18:00:00Z,Everton,Wolves,1,0,H,0,0,D,14,9
2020-21,2021-05-19T18:00:00Z,Newcastle,Sheffield United,1,0,H,1,0,H,16,11
2020-21,2021-05-19T18:00:00Z,Tottenham,Aston Villa,1,2,A,1,2,A,10,20
2020-21,2021-05-19T19:00:00Z,Crystal Palace,Arsenal,1,3,A,0,1,A,12,6
2020-21,2021-05-19T20:15:00Z,Burnley,Liverpool,0,3,A,0,1,A,10,20
2020-21,2021-05-19T20:15:00Z,West Brom,West Ham,1,3,A,1,1,D,14,21
2020-21,2021-05-23T16:00:00Z,Arsenal,Brighton,2,0,H,0,0,D,16,5
2020-21,2021-05-23T16:00:00Z,Aston Villa,Chelsea,2,1,H,1,0,H,6,23
2020-21,2021-05-23T16:00:00Z,Fulham,Newcastle,0,2,A,0,1,A,14,10
2020-21,2021-05-23T16:00:00Z,Leeds,West Brom,3,1,H,2,0,H,17,14
2020-21,2021-05-23T16:00:00Z,Leicester,Tottenham,2,4,A,1,1,D,10,11
2020-21,2021-05-23T16:00:00Z,Liverpool,Crystal Palace,2,0,H,1,0,H,19,5
2020-21,2021-05-23T16:00:00Z,Man City,Everton,5,0,H,2,0,H,21,8
2020-21,2021-05-23T16:00:00Z,Sheffield United,Burnley,1,0,H,1,0,H,12,10
2020-21,2021-05-23T16:00:00Z,West Ham,Southampton,3,0,H,2,0,H,14,17
2020-21,2021-05-23T16:00:00Z,Wolves,Man United,1,2,A,1,2,A,14,9
